https://aliexpress.ru/item/1005001524465118.html?sku_id=12000016464673052,"62,88 руб.",227 купили,"   4,7"
https://aliexpress.ru/item/1005003235769400.html?sku_id=12000024783499706,"168,35 руб.",40 купили,"   4,3"
https://aliexpress.ru/item/1005003156459614.html?sku_id=12000024402699234,"73,69 руб.",8645 купили,"   4,8"
https://aliexpress.ru/item/1005004227545664.html?sku_id=12000028450745153,"134,54 руб.",2 купили,   0
https://aliexpress.ru/item/1005004274988111.html?sku_id=12000028599681604,"15 576,67 руб.",86 купили,"   5,0"
https://aliexpress.ru/item/4001159167703.html?sku_id=10000014939054124,"66,26 руб.",42 купили,"   4,9"
https://aliexpress.ru/item/1005002426880632.html?sku_id=12000020612779288,"102,09 руб.",43 купили,"   4,7"
https://aliexpress.ru/item/1005003443416003.html?sku_id=12000025814182250,"121,02 руб.",4 купили,"   5,0"
https://aliexpress.ru/item/1005003781319427.html?sku_id=12000027147319655,"89,25 руб.",720 купили,"   4,7"
https://aliexpress.ru/item/1005004276902446.html?sku_id=12000028601380709,"215,68 руб.",1 купили,   0
https://aliexpress.ru/item/1005001855517385.html?sku_id=12000017868893071,"84,51 руб.",497 купили,"   4,7"
https://aliexpress.ru/item/1005003356876941.html?sku_id=12000025378538077,"125,75 руб.",3576 купили,"   4,9"
https://aliexpress.ru/item/1005001845793514.html?sku_id=12000017831516671,"97,36 руб.",528 купили,"   4,6"
https://aliexpress.ru/item/4000445307793.html?sku_id=10000011318883504,"104,80 руб.",290 купили,"   4,8"
https://aliexpress.ru/item/1005004393494244.html?sku_id=12000029022518803,"144,01 руб.",2 купили,   0
https://aliexpress.ru/item/4000134064956.html?sku_id=10000012970578912,"64,23 руб.",825 купили,"   4,8"
https://aliexpress.ru/item/4000197792785.html?sku_id=12000025668376241,"103,44 руб.",441 купили,"   4,5"
https://aliexpress.ru/item/1005004230773845.html?sku_id=12000028461685400,"134,54 руб.",11 купили,"   5,0"
https://aliexpress.ru/item/1005004139435027.html?sku_id=12000028161226078,"134,54 руб.",368 купили,"   4,8"
https://aliexpress.ru/item/1005004353925143.html?sku_id=12000028873020588,"134,54 руб.",2 купили,   0
https://aliexpress.ru/item/1005003521415093.html?sku_id=12000026156493571,"119,67 руб.",764 купили,"   4,2"
https://aliexpress.ru/item/1005003642554856.html?sku_id=12000026618878452,"104,80 руб.",814 купили,"   4,6"
https://aliexpress.ru/item/1005003625551849.html?sku_id=12000026549480634,"98,71 руб.",1012 купили,"   4,4"
https://aliexpress.ru/item/1005004247651484.html?sku_id=12000028514651903,"66,26 руб.",9 купили,"   5,0"
https://aliexpress.ru/item/1005003023374172.html?sku_id=12000023287419446,"1 294,06 руб.",78 купили,"   4,2"
https://aliexpress.ru/item/1005003463275134.html?sku_id=12000025899979726,"56,79 руб.",363 купили,"   4,5"
https://aliexpress.ru/item/1005002856673231.html?sku_id=12000022480323037,"161,59 руб.",2508 купили,"   4,8"
https://aliexpress.ru/item/1005002242597607.html?sku_id=12000019573684870,"33,13 руб.",1082 купили,"   4,8"
https://aliexpress.ru/item/4001245815952.html?sku_id=12000025662694662,"106,15 руб.",1464 купили,"   4,8"
https://aliexpress.ru/item/1005003204904394.html?sku_id=12000024652808799,"187,28 руб.",770 купили,"   4,7"
https://aliexpress.ru/item/1005004212166320.html?sku_id=12000028397687880,"87,22 руб.",38 купили,"   5,0"
https://aliexpress.ru/item/1005003557794390.html?sku_id=12000026279888634,"93,98 руб.",143 купили,"   4,3"
https://aliexpress.ru/item/33048524407.html?sku_id=67431649031,"81,13 руб.",213 купили,"   4,7"
https://aliexpress.ru/item/1005004154271734.html?sku_id=12000028216220059,"134,54 руб.",3 купили,   0
